url,beds,city,date,size,type,baths,price,neighborhood,size_min_sqft,size_max_sqft,size_mean_sqft,listing_date,listing_age_days,property_group,beds_clean,baths_clean,neighborhood_bucket,price_per_sqft,flag_extreme_price_per_sqft
https://www.99acres.com/lodha-divino-matunga-south-mumbai-npxid-r404243,2,Mumbai,2025-02-19,713.97 - 1727 sqft,Apartment,2,29800000.0,Matunga,713.97,1727.0,1220.4850000000001,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,24416.522939651037,True
https://www.99acres.com/lodha-the-park-worli-south-mumbai-npxid-r13344,2,Mumbai,2025-02-19,839 - 2254 sqft,Apartment,2,48000000.0,Worli,839.0,2254.0,1546.5,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,31037.827352085355,True
https://www.99acres.com/l-and-t-the-gateway-sewri-south-mumbai-npxid-r423314,3,Mumbai,2025-02-19,1133.34 - 2251 sqft,Apartment,2,44700000.0,Sewri,1133.34,2251.0,1692.17,2025-02-19 00:00:00.000,0,Apartment,3.0,2.0,Other,26415.785648014087,True
https://www.99acres.com/rustomjee-crown-prabhadevi-south-mumbai-npxid-r725,3,Mumbai,2025-02-19,1334.74 - 3088 sqft,Apartment,2,95400000.0,Prabhadevi,1334.74,3088.0,2211.37,2025-02-19 00:00:00.000,0,Apartment,3.0,2.0,Other,43140.67749856424,True
https://www.99acres.com/piramal-mahalaxmi-mahalaxmi-south-mumbai-npxid-r303861,2,Mumbai,2025-02-19,713.8 - 1850 sqft,Apartment,2,45700000.0,Mahalaxmi,713.8,1850.0,1281.9,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,35650.20672439347,True
https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-paschim-vihar-west-delhi-1350-sq-ft-r4-spid-F74144417,3,Delhi,2025-02-19,1350 sqft,Independent Builder Floor,3,25500000.0,Paschim Vihar,1350.0,1350.0,1350.0,2025-02-19 00:00:00.000,0,Builder Floor,3.0,3.0,Other,18888.88888888889,True
https://www.99acres.com/sky-high-luxury-homes-sector-8-dwarka-delhi-npxid-r348181,2,Delhi,2025-02-19,Not specified,Independent Floor,2,8500000.0,Sector 8 Dwarka,,,,2025-02-19 00:00:00.000,0,Other,2.0,2.0,Other,,True
https://www.99acres.com/bhardwaj-builder-floors-model-town-north-delhi-npxid-r376612,3,Delhi,2025-02-19,Not specified,Independent Floor,3,0.0,Model Town,,,,2025-02-19 00:00:00.000,0,Other,3.0,3.0,Other,,True
https://www.99acres.com/dlf-capital-greens-1-and-2-moti-nagar-west-delhi-npxid-r473,2,Delhi,2025-02-19,Not specified,Apartment,2,21000000.0,Moti Nagar,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,,True
https://www.99acres.com/unity-group-the-amaryllis-karol-bagh-central-delhi-npxid-r217503,2,Delhi,2025-02-19,Not specified,Apartment,2,22500000.0,Karol Bagh,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,,True
https://www.99acres.com/3baan-farms-chattarpur-south-delhi-npxid-r436830,4,Delhi,2025-02-19,Not specified,Villa,4,90000000.0,Chattarpur,,,,2025-02-19 00:00:00.000,0,Villa,4.0,4.0,Other,,True
